Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CATEGORY,CHECK_PRICES,DESCRIPTION,HEIGHT,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MAXIMUM_PACKAGE_HEIGHT,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,MPN,OPERATING_TEMP,PACKAGE,PARTREV,PART_STATUS,POPULARITY,PRICE,RATING,ROHS_COMPLIANT,SERIES,SIMULATION_DATA,SNAPEDA_LINK,SNAPEDA_PN,STANDARD,SUB-CATEGORY,THERMALLOSS,TOLERANCE,TP_SIGNAL_NAME,TYPE,VOLTAGE_RATING
1,S2B-PH-K-S,S2B-PH-K-S,S2BPHKS,J3,"CONN HEADER R/A 2POS 2MM",,,,,,"CONN HEADER R/A 2POS 2MM",4.8mm,,"JST (JAPAN SOLDERLESS TERMINALS)",S2B-PH-K-S,,,,,,,,,,,,,,,,,,,,,,,,,
1,SS34,SS34,DIOM5327X244N,D12,"SMD Schottky Diode",,,,,,"SMD Schottky Diode",2.438mm,,KEXIN,SS34,,,,,,,,,,,,,,,,,,,,,,,,,
2,TAJB107K006RNJ,TAJB107K006RNJ,CAPPM3528X210N,"C60, C61","AVX 100",TAJB107K006RNJ,https://www.arrow.com/en/products/tajb107k006rnj/avx?utm_currency=USD&region=nac,,,,"AVX 100",2.1mm,,"Kyocera AVX",TAJB107K006RNJ,,,581-TAJB107K006R,https://www.mouser.co.uk/ProductDetail/KYOCERA-AVX/TAJB107K006RNJ?qs=fdqkYiOtZpcsxthKdBMg8Q%3D%3D,,,,,,,,,,,,,,,,,,,,,
1,TCN75AVOA713,TCN75AVOA713,SOIC127P600X175-8N,IC7,"Board Mount Temperature Sensors 2-Wire SER Temp Sens/Ther Mon",TCN75AVOA713,https://www.arrow.com/en/products/tcn75avoa713/microchip-technology?region=nac,,,,"Board Mount Temperature Sensors 2-Wire SER Temp Sens/Ther Mon",1.75mm,,Microchip,TCN75AVOA713,,,579-TCN75AVOA713,https://www.mouser.co.uk/ProductDetail/Microchip-Technology/TCN75AVOA713?qs=RnzODY3cU8sRlIM3UB0rCw%3D%3D,,,,,,,,,,,,,,,,,,,,,
1,TLJB227M006R0500,TLJB227M006R0500,CAPPM3528X210N,C62,"Tantalum Capacitors - Solid SMD 6.3V 220uF 20% ESR=500",TLJB227M006R0500,https://www.arrow.com/en/products/tljb227m006r0500/avx?utm_currency=USD&region=nac,,,,"Tantalum Capacitors - Solid SMD 6.3V 220uF 20% ESR=500",2.1mm,,"Kyocera AVX",TLJB227M006R0500,,,581-TLJB227M006R0500,https://www.mouser.co.uk/ProductDetail/KYOCERA-AVX/TLJB227M006R0500?qs=o28%2FEEzBmj050XjtnkgQxA%3D%3D,,,,,,,,,,,,,,,,,,,,,
2,"TPB1,27","TPB1,27","B1,27","TP3, TP4","Test pad",,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,
1,TPS61085DGKR,TPS61085DGKR,SOP65P490X110-8N,IC6,"18.5V, 2A, 650kHz / 1.2MHz Step-Up DC-DC Converter w/ Forced PWM Mode",TPS61085DGKR,https://www.arrow.com/en/products/tps61085dgkr/texas-instruments?region=europe,,,,18.5V," 2A"," 650kHz / 1.2MHz Step-Up DC-DC Converter w/ Forced PWM Mode",1.1mm,,"Texas Instruments",TPS61085DGKR,,,595-TPS61085DGKR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS61085DGKR?qs=59Rn2Bt6jP0PB7IUu7UPlw%3D%3D,,,,,,,,,,,,,,,,,,,
1,TPS62902RPJR,TPS62902RPJR,TPS62902RPJR,IC3,"Switching Voltage Regulators 3-V to 17-V, 2-A, high-efficiency and low IQ buck converter 1.5-mm 2-mm QFN package",,,,,,"Switching Voltage Regulators 3-V to 17-V"," 2-A"," high-efficiency and low IQ buck converter 1.5-mm 2-mm QFN package",1mm,,"Texas Instruments",TPS62902RPJR,,,595-TPS62902RPJR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS62902RPJR?qs=DRkmTr78QATzfMsnYOTzCQ%3D%3D,,,,,,,,,,,,,,,,,,,
1,TS-1088-AR02016,TS-1088-AR02016,TS1088AR02016,S1,"Tact Switch",,,,,,"Tact Switch",2mm,,XUNPU,TS-1088-AR02016,,,,,,,,,,,,,,,,,,,,,,,,,
1,"TS-1103S-C-U (C318914)",TS-1103S-C-U,TS1103SCU,S3,"tact switch 12x12X14 patch cylindrical black knob 260GF stainless steel shrapnel",,,,,,"tact switch 12x12X14 patch cylindrical black knob 260GF stainless steel shrapnel",7mm,,"XKB Connectivity",TS-1103S-C-U,,,,,,,,,,,,,,,,,,,,,,,,,
1,U263-241N-4BQC02,U263-241N-4BQC02,U263241N4BQC02,J1,"3.1TYPE-C connector female 24P upright",,,,,,"3.1TYPE-C connector female 24P upright",6.8mm,,"XKB Connectivity",U263-241N-4BQC02,,,,,,,,,,,,,,,,,,,,,,,,,
1,W25Q128JVSIQ,W25Q128JVSIQ,SOIC127P790X216-8N,IC1,"128M-bit Serial Flash Memory with uniform 4KB sectors and Dual/Quad SPI",W25Q128JVSIQ,https://www.arrow.com/en/products/w25q128jvsiq/winbond-electronics?utm_currency=USD&region=nac,,,,"128M-bit Serial Flash Memory with uniform 4KB sectors and Dual/Quad SPI",2.16mm,,Winbond,W25Q128JVSIQ,,,454-W25Q128JVSIQ,https://www.mouser.co.uk/ProductDetail/Winbond/W25Q128JVSIQ?qs=qSfuJ%252Bfl%2Fd6tLXvPR4fl9w%3D%3D,,,,,,,,,,,,,,,,,,,,,
